mean_lbp,std_lbp,LGLRE_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,directionality_tamura,label
205.7726082,82.48842673,0.192480078,0.12709103,26829.7651,42739.78065,239.3524702,1
201.4814366,84.40483985,0.216323225,0.141612246,21567.88439,28711.85777,248.5124698,1
193.5139671,87.2479507,0.177158184,0.120088767,23082.68912,34975.731,465.2414983,0
208.1884319,80.92113354,0.198235472,0.130819348,21284.9906,57487.62835,460.3570771,1
222.1996618,69.63023039,0.183483407,0.120354468,17280.76617,32358.99483,406.445355,0
220.9641597,71.67306017,0.255047881,0.16230446,14122.86507,20178.1546,510.481173,0
187.1127443,89.90837466,0.177124367,0.122626908,20580.23656,28628.63763,547.1431061,1
226.5102686,66.41976931,0.226671089,0.143570464,21120.37101,37195.52537,607.0245581,1
229.7033143,63.27078397,0.184526124,0.116419683,22402.36758,73104.08119,503.2688286,0
205.4676272,80.19013366,0.136801379,0.08717601,27120.35382,65500.17992,630.7218079,1
229.1427925,64.06124149,0.244561434,0.156589949,16253.10515,29011.8335,560.9475491,1
215.0276975,76.53029204,0.176309929,0.113815285,29309.36549,147263.4862,526.7522717,1
216.9629414,74.67262122,0.225245205,0.147658439,14182.70398,21038.70156,588.1262787,0
240.5759067,49.49116318,0.248658726,0.158490291,17236.12516,28011.40388,474.8904861,1
204.2568755,82.66489503,0.162344102,0.104716103,28369.27632,57652.14864,497.0422132,1
202.8736062,84.38916256,0.240329806,0.158198064,19449.3807,26625.91901,552.0427062,0
231.1205086,60.99705303,0.16199176,0.102161201,19390.72616,149228.4631,502.5295299,0
205.5873258,82.72345673,0.227047529,0.149831721,20723.77107,33055.71174,562.333609,1
199.3521764,85.15882078,0.149824765,0.100274115,30145.30869,53065.94451,240.2536191,1
232.8974449,59.67900507,0.277077244,0.174829437,12839.3193,17486.04177,482.5221675,0
220.6129194,71.76292518,0.232431583,0.154532353,13781.89202,23840.85129,570.4875882,0
218.0381647,73.57719304,0.269001846,0.171367872,14454.15548,20209.53508,410.7733198,1
221.2807159,72.43315815,0.222474522,0.150868329,12742.68712,17688.88449,599.0411169,1
218.5143092,71.94977864,0.147135128,0.093462963,25654.3672,131658.7687,480.9833956,0
231.8092816,60.80474616,0.201162179,0.131141519,21008.59903,40557.06498,487.3015179,0
213.5310199,77.00167606,0.189776832,0.123681274,20298.807,37467.18142,297.2828354,1
212.190183,76.2652101,0.105738729,0.068542662,31530.34006,78635.54468,474.233423,1
244.3629477,43.40135713,0.280776816,0.183454436,17087.44887,22271.19305,213.5129878,0
216.5748159,74.455907,0.155855318,0.099484641,22070.76203,55549.79083,559.1241017,1
221.2038043,71.83816241,0.175065768,0.112997608,27974.95795,146717.1774,633.396244,1
208.6291099,79.5637609,0.17111943,0.110821056,21533.08001,40541.19664,583.4270159,0
230.5124795,62.79906092,0.247489147,0.155390026,18827.12251,28160.53968,502.422214,1
219.1114999,72.43322829,0.201281135,0.129465921,18586.34552,37690.12163,453.4278481,0
212.5368115,79.01381709,0.193437432,0.12719223,22031.19805,30286.76867,570.6995559,1
212.6139342,77.8506768,0.16842314,0.112906887,25136.54979,46465.89394,443.1963452,1
231.9759059,61.46982159,0.2144691,0.13934691,23447.9796,38640.6359,228.4110409,0
221.936432,71.28473248,0.228361384,0.148360855,19252.25643,28459.64452,288.3931014,0
228.1461315,64.97812186,0.213465853,0.139300861,16640.61813,25301.5071,241.6083231,0
199.9549218,84.04920888,0.155588398,0.100700164,25967.03599,57070.47463,462.133915,1
196.3516654,85.66563945,0.138807841,0.096336349,21826.34393,36592.9297,483.2055575,0
221.0167929,70.77524423,0.152709914,0.096025953,29532.85892,65623.54332,597.6387952,1
207.2462929,80.4595019,0.173569271,0.115760913,21020.38772,36561.99333,449.5309154,1
