mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
67.57066169,57.93415914,63.66611934,110.8117555,96.00565923,104.8470465,1.053485281,1.077708283,1.058160549,0
24.11770335,20.61791485,23.39864087,72.604252,63.22161343,70.7843508,2.749978634,2.79409807,2.755662573,0
47.4053531,38.28537998,37.86792506,96.55113876,79.69838995,78.82134998,1.608794021,1.644604741,1.644285786,1
76.80931973,65.7684591,65.17936211,115.3889348,99.75658064,98.86918235,0.855598113,0.880307351,0.881418576,1
7.355811409,6.946461083,6.670781175,41.50957954,39.96545949,38.11333132,5.627329813,5.654393699,5.678828484,0
53.85609715,41.2949345,50.13466577,100.6638876,78.45634969,94.43336499,1.374390466,1.422273688,1.38529619,1
46.27123879,43.43439153,44.85791925,96.53975575,91.72229686,94.36430075,1.64254338,1.660258307,1.649445802,1
58.33787246,46.20305402,43.58694638,104.5529525,84.43244517,79.46814008,1.284228478,1.32520579,1.326699836,0
20.09094828,18.18711823,19.63979064,66.43830879,61.25831778,65.29098822,3.096750229,3.120776382,3.102341055,1
41.32901744,32.60244418,32.14611233,91.73204772,73.76987489,72.74520321,1.829399396,1.872836192,1.872204223,0
43.20809103,38.79380209,38.559456,89.24087213,81.59081741,81.2153066,1.642558316,1.656637277,1.656191283,1
54.7084935,47.12927758,47.50061662,102.4356513,89.49624868,90.33125696,1.379908266,1.397579134,1.396401706,1
24.47312621,22.56872933,21.41365535,73.67401631,68.91705733,65.38391604,2.73794436,2.759732566,2.784787293,0
30.03997273,25.91968778,25.8736117,79.69936828,70.35301425,70.28029039,2.359380966,2.408326451,2.402481671,0
25.7685575,19.78695593,18.85424084,74.60953598,58.77619514,55.95485437,2.644139028,2.718305128,2.740961409,0
79.79356154,67.01784942,68.17623977,115.7604524,98.73731647,100.3766428,0.795097452,0.82935045,0.819502206,1
79.06989812,58.58312304,56.59744122,114.2376537,86.70113384,83.74322648,0.808544002,0.844961403,0.851911632,0
50.05816902,45.55528669,44.86459065,99.69809381,91.61855817,90.19334304,1.516820219,1.53759261,1.541954587,1
58.35468704,45.76128254,45.27662603,104.1610467,83.27155103,82.35797044,1.27975146,1.306360211,1.314480589,1
13.28533526,12.24308498,12.02473223,54.90264819,51.72136021,50.76804316,4.026407346,4.06793356,4.076012766,0
21.95234981,19.87692717,20.08649123,69.2880115,64.11625692,64.9751583,2.944721363,2.9797958,2.968292387,0
56.27127378,47.92518694,55.27944509,104.6656805,89.76459651,102.9180144,1.336452362,1.358725759,1.338204211,0
81.59090847,70.58002321,81.45457102,117.0075458,102.4333305,116.8052998,0.761886248,0.787893407,0.762413224,1
10.97427832,9.299768519,9.394253813,49.65165014,43.15769388,43.67867525,4.468256181,4.559337268,4.531808648,0
29.4856116,21.99028387,22.70746832,77.22857417,59.3212755,61.41349951,2.363988232,2.393576806,2.387616837,0
43.05846747,37.16222619,38.70292897,93.57079418,82.04710423,85.37652091,1.759628822,1.790828723,1.776880036,1
73.97299246,63.70896427,73.40745329,113.324428,99.06621784,112.7415629,0.917245105,0.944418642,0.919411506,1
39.39124084,29.67514607,31.01223014,89.19438526,68.84848092,71.98930891,1.902889521,1.956496473,1.936985848,0
17.13936276,16.51189999,15.81808279,62.71713462,60.96289312,58.42103806,3.430670259,3.449372486,3.474636677,0
29.61020176,27.80202518,27.09333283,79.43829689,75.83582163,73.87677121,2.380759826,2.402812801,2.405193689,0
40.98886827,38.38064847,39.49641683,91.7508519,86.56232619,89.0320931,1.81856903,1.829525148,1.824890925,0
87.56591229,69.84232627,83.76686319,119.1016301,96.19342933,114.5755252,0.647743315,0.683930562,0.657410232,1
22.87135911,21.47252993,21.44061052,70.84682346,67.71788046,67.74155739,2.864535829,2.885114905,2.878887897,0
71.20631458,64.09142351,67.45263309,113.0626423,102.5618259,107.8384963,0.974716839,0.993306282,0.983596929,1
62.29813172,59.15779338,57.73972653,107.9068721,103.3872967,100.9369407,1.178823149,1.18927502,1.198491093,1
93.45864836,72.57238755,90.04134671,120.8098682,94.93483994,116.8731082,0.544720475,0.571470254,0.550878971,0
31.16269898,25.08647293,28.97113895,80.50180146,66.79940043,76.0536743,2.303224029,2.377507746,2.320158569,1
49.92508743,46.48953654,46.94070441,97.36935067,93.26541162,93.88929176,1.521605425,1.539178482,1.536477817,1
35.64319439,30.83300755,32.17098455,86.56515417,76.12371102,79.40320084,2.075008515,2.100078451,2.08923966,0
74.09151578,61.29566396,70.97683702,113.6706238,95.20176938,109.3395823,0.910794958,0.936031557,0.915314531,0
